,endDate,NAV
0,2016-01-04,0.942
1,2016-01-05,0.937
2,2016-01-06,0.957
3,2016-01-07,0.887
4,2016-01-08,0.899
5,2016-01-11,0.843
6,2016-01-12,0.843
7,2016-01-13,0.817
8,2016-01-14,0.842
9,2016-01-15,0.82
10,2016-01-18,0.83
11,2016-01-19,0.859
12,2016-01-20,0.847
13,2016-01-21,0.807
14,2016-01-22,0.815
15,2016-01-25,0.825
16,2016-01-26,0.766
17,2016-01-27,0.758
18,2016-01-28,0.73
19,2016-01-29,0.761
20,2016-02-01,0.763
21,2016-02-02,0.791
22,2016-02-03,0.793
23,2016-02-04,0.804
24,2016-02-05,0.797
25,2016-02-15,0.792
26,2016-02-16,0.831
27,2016-02-17,0.838
28,2016-02-18,0.836
29,2016-02-19,0.84
30,2016-02-22,0.854
31,2016-02-23,0.85
32,2016-02-24,0.844
33,2016-02-25,0.785
34,2016-02-26,0.792
35,2016-02-29,0.752
36,2016-03-01,0.767
37,2016-03-02,0.801
38,2016-03-03,0.801
39,2016-03-04,0.781
40,2016-03-07,0.797
41,2016-03-08,0.803
42,2016-03-09,0.79
43,2016-03-10,0.781
44,2016-03-11,0.782
45,2016-03-14,0.809
46,2016-03-15,0.803
47,2016-03-16,0.796
48,2016-03-17,0.823
49,2016-03-18,0.848
50,2016-03-21,0.862
51,2016-03-22,0.865
52,2016-03-23,0.871
53,2016-03-24,0.862
54,2016-03-25,0.865
55,2016-03-28,0.862
56,2016-03-29,0.843
57,2016-03-30,0.874
58,2016-03-31,0.879
59,2016-04-01,0.873
60,2016-04-05,0.894
61,2016-04-06,0.898
62,2016-04-07,0.881
63,2016-04-08,0.874
64,2016-04-11,0.895
65,2016-04-12,0.89
66,2016-04-13,0.896
67,2016-04-14,0.902
68,2016-04-15,0.9
69,2016-04-18,0.891
70,2016-04-19,0.899
71,2016-04-20,0.863
72,2016-04-21,0.852
73,2016-04-22,0.866
74,2016-04-25,0.862
75,2016-04-26,0.866
76,2016-04-27,0.867
77,2016-04-28,0.869
78,2016-04-29,0.869
79,2016-05-03,0.9
80,2016-05-04,0.9
81,2016-05-05,0.9
82,2016-05-06,0.876
83,2016-05-09,0.857
84,2016-05-10,0.861
85,2016-05-11,0.867
86,2016-05-12,0.867
87,2016-05-13,0.864
88,2016-05-16,0.881
89,2016-05-17,0.875
90,2016-05-18,0.853
91,2016-05-19,0.856
92,2016-05-20,0.864
93,2016-05-23,0.875
94,2016-05-24,0.865
95,2016-05-25,0.857
96,2016-05-26,0.864
97,2016-05-27,0.865
98,2016-05-30,0.858
99,2016-05-31,0.891
100,2016-06-01,0.892
101,2016-06-02,0.892
102,2016-06-03,0.903
103,2016-06-06,0.908
104,2016-06-07,0.908
105,2016-06-08,0.902
106,2016-06-13,0.873
107,2016-06-14,0.874
108,2016-06-15,0.896
109,2016-06-16,0.888
110,2016-06-17,0.895
111,2016-06-20,0.9
112,2016-06-21,0.893
113,2016-06-22,0.902
114,2016-06-23,0.898
115,2016-06-24,0.892
116,2016-06-27,0.906
117,2016-06-28,0.91
118,2016-06-29,0.915
119,2016-06-30,0.918
120,2016-07-01,0.919
121,2016-07-04,0.931
122,2016-07-05,0.933
123,2016-07-06,0.94
124,2016-07-07,0.938
125,2016-07-08,0.936
126,2016-07-11,0.932
127,2016-07-12,0.945
128,2016-07-13,0.947
129,2016-07-14,0.946
130,2016-07-15,0.95
131,2016-07-18,0.948
132,2016-07-19,0.944
133,2016-07-20,0.944
134,2016-07-21,0.946
135,2016-07-22,0.937
136,2016-07-25,0.94
137,2016-07-26,0.952
138,2016-07-27,0.936
139,2016-07-28,0.945
140,2016-07-29,0.947
141,2016-08-01,0.933
142,2016-08-02,0.936
143,2016-08-03,0.938
144,2016-08-04,0.943
145,2016-08-05,0.943
146,2016-08-08,0.949
147,2016-08-09,0.957
148,2016-08-10,0.955
149,2016-08-11,0.947
150,2016-08-12,0.949
151,2016-08-15,0.961
152,2016-08-16,0.963
153,2016-08-17,0.963
154,2016-08-18,0.959
155,2016-08-19,0.96
156,2016-08-22,0.961
157,2016-08-23,0.964
158,2016-08-24,0.964
159,2016-08-25,0.958
160,2016-08-26,0.962
161,2016-08-29,0.964
162,2016-08-30,0.963
163,2016-08-31,0.961
164,2016-09-01,0.959
165,2016-09-02,0.949
166,2016-09-05,0.954
167,2016-09-06,0.964
168,2016-09-07,0.96
169,2016-09-08,0.96
170,2016-09-09,0.953
171,2016-09-12,0.937
172,2016-09-13,0.942
173,2016-09-14,0.935
174,2016-09-19,0.94
175,2016-09-20,0.938
176,2016-09-21,0.94
177,2016-09-22,0.943
178,2016-09-23,0.94
179,2016-09-26,0.932
180,2016-09-27,0.94
181,2016-09-28,0.944
182,2016-09-29,0.949
183,2016-09-30,0.955
184,2016-10-10,0.967
185,2016-10-11,0.967
186,2016-10-12,0.968
187,2016-10-13,0.968
188,2016-10-14,0.961
189,2016-10-17,0.956
190,2016-10-18,0.961
191,2016-10-19,0.955
192,2016-10-20,0.957
193,2016-10-21,0.951
194,2016-10-24,0.957
195,2016-10-25,0.964
196,2016-10-26,0.962
197,2016-10-27,0.959
198,2016-10-28,0.958
199,2016-10-31,0.957
200,2016-11-01,0.967
201,2016-11-02,0.96
202,2016-11-03,0.959
203,2016-11-04,0.951
204,2016-11-07,0.947
205,2016-11-08,0.957
206,2016-11-09,0.951
207,2016-11-10,0.955
208,2016-11-11,0.951
209,2016-11-14,0.95
