,endDate,NAV
0,2017-07-06,0.894
1,2017-07-07,0.891
2,2017-07-10,0.874
3,2017-07-11,0.867
4,2017-07-12,0.865
5,2017-07-13,0.863
6,2017-07-14,0.848
7,2017-07-17,0.807
8,2017-07-18,0.814
9,2017-07-19,0.823
10,2017-07-20,0.824
11,2017-07-21,0.825
12,2017-07-24,0.825
13,2017-07-25,0.825
14,2017-07-26,0.823
15,2017-07-27,0.851
16,2017-07-28,0.847
17,2017-07-31,0.848
18,2017-08-01,0.85
19,2017-08-02,0.839
20,2017-08-03,0.841
21,2017-08-04,0.835
22,2017-08-07,0.841
23,2017-08-08,0.853
24,2017-08-09,0.855
25,2017-08-10,0.849
26,2017-08-11,0.845
27,2017-08-14,0.863
28,2017-08-15,0.865
29,2017-08-16,0.873
30,2017-08-17,0.877
31,2017-08-18,0.871
32,2017-08-21,0.874
33,2017-08-22,0.867
34,2017-08-23,0.866
35,2017-08-24,0.862
36,2017-08-25,0.869
37,2017-08-28,0.881
38,2017-08-29,0.875
39,2017-08-30,0.877
40,2017-08-31,0.88
41,2017-09-01,0.887
42,2017-09-04,0.893
43,2017-09-05,0.893
44,2017-09-06,0.898
45,2017-09-07,0.891
46,2017-09-08,0.889
47,2017-09-11,0.894
48,2017-09-12,0.888
49,2017-09-13,0.891
50,2017-09-14,0.89
51,2017-09-15,0.887
52,2017-09-18,0.893
53,2017-09-19,0.886
54,2017-09-20,0.892
55,2017-09-21,0.883
56,2017-09-22,0.88
57,2017-09-25,0.871
58,2017-09-26,0.869
59,2017-09-27,0.876
60,2017-09-28,0.876
61,2017-09-29,0.883
62,2017-10-09,0.892
63,2017-10-10,0.904
64,2017-10-11,0.898
65,2017-10-12,0.898
66,2017-10-13,0.907
67,2017-10-16,0.888
68,2017-10-17,0.886
69,2017-10-18,0.882
70,2017-10-19,0.879
71,2017-10-20,0.887
72,2017-10-23,0.896
73,2017-10-24,0.897
74,2017-10-25,0.902
75,2017-10-26,0.901
76,2017-10-27,0.894
77,2017-10-30,0.871
78,2017-10-31,0.876
79,2017-11-01,0.877
80,2017-11-02,0.866
81,2017-11-03,0.859
82,2017-11-06,0.867
83,2017-11-07,0.871
84,2017-11-08,0.874
85,2017-11-09,0.883
86,2017-11-10,0.89
87,2017-11-13,0.893
88,2017-11-14,0.888
89,2017-11-15,0.87
90,2017-11-16,0.874
91,2017-11-17,0.854
92,2017-11-20,0.865
93,2017-11-21,0.864
94,2017-11-22,0.863
95,2017-11-23,0.836
96,2017-11-24,0.831
97,2017-11-27,0.821
98,2017-11-28,0.835
99,2017-11-29,0.831
100,2017-11-30,0.824
101,2017-12-01,0.839
102,2017-12-04,0.836
103,2017-12-05,0.818
104,2017-12-06,0.83
105,2017-12-07,0.826
106,2017-12-08,0.833
107,2017-12-11,0.844
108,2017-12-12,0.835
109,2017-12-13,0.839
110,2017-12-14,0.833
111,2017-12-15,0.828
112,2017-12-18,0.827
113,2017-12-19,0.835
114,2017-12-20,0.828
115,2017-12-21,0.831
116,2017-12-22,0.827
117,2017-12-25,0.816
118,2017-12-26,0.818
119,2017-12-27,0.812
120,2017-12-28,0.812
121,2017-12-29,0.815
122,2017-12-31,0.815
123,2018-01-02,0.822
124,2018-01-03,0.833
125,2018-01-04,0.833
126,2018-01-05,0.836
127,2018-01-08,0.838
128,2018-01-09,0.837
129,2018-01-10,0.831
130,2018-01-11,0.837
131,2018-01-12,0.829
132,2018-01-15,0.805
133,2018-01-16,0.804
134,2018-01-17,0.81
135,2018-01-18,0.809
136,2018-01-19,0.805
137,2018-01-22,0.822
138,2018-01-23,0.822
139,2018-01-24,0.842
140,2018-01-25,0.842
141,2018-01-26,0.845
142,2018-01-29,0.838
143,2018-01-30,0.83
144,2018-01-31,0.809
145,2018-02-01,0.793
146,2018-02-02,0.795
147,2018-02-05,0.789
148,2018-02-06,0.752
149,2018-02-07,0.759
150,2018-02-08,0.77
151,2018-02-09,0.748
152,2018-02-12,0.773
153,2018-02-13,0.773
154,2018-02-14,0.772
155,2018-02-22,0.786
156,2018-02-23,0.782
157,2018-02-26,0.81
158,2018-02-27,0.816
159,2018-02-28,0.821
160,2018-03-01,0.838
161,2018-03-02,0.83
162,2018-03-05,0.84
163,2018-03-06,0.841
164,2018-03-07,0.836
165,2018-03-08,0.839
166,2018-03-09,0.868
167,2018-03-12,0.88
168,2018-03-13,0.876
169,2018-03-14,0.861
170,2018-03-15,0.865
171,2018-03-16,0.852
172,2018-03-19,0.862
173,2018-03-20,0.871
174,2018-03-21,0.856
175,2018-03-22,0.851
176,2018-03-23,0.81
177,2018-03-26,0.835
178,2018-03-27,0.864
179,2018-03-28,0.86
180,2018-03-29,0.863
181,2018-03-30,0.889
182,2018-04-02,0.889
183,2018-04-03,0.877
184,2018-04-04,0.861
185,2018-04-09,0.863
186,2018-04-10,0.86
187,2018-04-11,0.86
188,2018-04-12,0.856
189,2018-04-13,0.855
190,2018-04-16,0.862
191,2018-04-17,0.837
192,2018-04-18,0.854
193,2018-04-19,0.853
194,2018-04-20,0.836
195,2018-04-23,0.823
196,2018-04-24,0.847
197,2018-04-25,0.853
198,2018-04-26,0.836
199,2018-04-27,0.847
200,2018-05-02,0.845
201,2018-05-03,0.856
202,2018-05-04,0.851
203,2018-05-07,0.867
204,2018-05-08,0.869
205,2018-05-09,0.869
206,2018-05-10,0.873
207,2018-05-11,0.859
208,2018-05-14,0.858
209,2018-05-15,0.87
210,2018-05-16,0.865
211,2018-05-17,0.858
212,2018-05-18,0.861
213,2018-05-21,0.872
214,2018-05-22,0.878
215,2018-05-23,0.865
216,2018-05-24,0.861
217,2018-05-25,0.846
218,2018-05-28,0.843
219,2018-05-29,0.833
220,2018-05-30,0.812
221,2018-05-31,0.821
222,2018-06-01,0.806
223,2018-06-04,0.803
224,2018-06-05,0.822
225,2018-06-06,0.821
226,2018-06-07,0.815
227,2018-06-08,0.807
228,2018-06-11,0.797
229,2018-06-12,0.808
230,2018-06-13,0.796
231,2018-06-14,0.79
232,2018-06-15,0.777
233,2018-06-19,0.738
234,2018-06-20,0.745
235,2018-06-21,0.726
236,2018-06-22,0.739
237,2018-06-25,0.734
238,2018-06-26,0.746
239,2018-06-27,0.737
240,2018-06-28,0.737
241,2018-06-29,0.768
242,2018-06-30,0.768
243,2018-07-02,0.76
244,2018-07-03,0.769
245,2018-07-04,0.75
246,2018-07-05,0.736
247,2018-07-06,0.741
248,2018-07-09,0.76
249,2018-07-10,0.765
250,2018-07-11,0.752
251,2018-07-12,0.774
252,2018-07-13,0.777
253,2018-07-16,0.776
254,2018-07-17,0.778
255,2018-07-18,0.772
256,2018-07-19,0.765
257,2018-07-20,0.774
258,2018-07-23,0.777
259,2018-07-24,0.781
260,2018-07-25,0.784
261,2018-07-26,0.771
262,2018-07-27,0.766
263,2018-07-30,0.75
264,2018-07-31,0.751
265,2018-08-01,0.742
266,2018-08-02,0.728
267,2018-08-03,0.715
268,2018-08-06,0.697
269,2018-08-07,0.714
270,2018-08-08,0.699
271,2018-08-09,0.721
272,2018-08-10,0.728
273,2018-08-13,0.737
274,2018-08-14,0.73
275,2018-08-15,0.712
276,2018-08-16,0.705
277,2018-08-17,0.692
278,2018-08-20,0.692
279,2018-08-21,0.702
280,2018-08-22,0.694
281,2018-08-23,0.701
282,2018-08-24,0.699
283,2018-08-27,0.719
284,2018-08-28,0.718
285,2018-08-29,0.713
286,2018-08-30,0.703
287,2018-08-31,0.692
288,2018-09-03,0.695
289,2018-09-04,0.7
290,2018-09-05,0.688
291,2018-09-06,0.685
292,2018-09-07,0.686
293,2018-09-10,0.67
294,2018-09-11,0.672
295,2018-09-12,0.668
296,2018-09-13,0.67
297,2018-09-14,0.659
298,2018-09-17,0.652
299,2018-09-18,0.664
300,2018-09-19,0.671
301,2018-09-20,0.668
302,2018-09-21,0.68
303,2018-09-25,0.677
304,2018-09-26,0.684
305,2018-09-27,0.675
306,2018-09-28,0.68
307,2018-10-08,0.654
308,2018-10-09,0.65
309,2018-10-10,0.651
310,2018-10-11,0.612
311,2018-10-12,0.614
312,2018-10-15,0.606
313,2018-10-16,0.592
314,2018-10-17,0.599
315,2018-10-18,0.586
316,2018-10-19,0.607
317,2018-10-22,0.637
318,2018-10-23,0.627
319,2018-10-24,0.623
