,endDate,NAV
0,2016-01-27,0.963
1,2016-01-28,0.94
2,2016-01-29,0.9717
3,2016-02-01,0.9589
4,2016-02-02,0.979
5,2016-02-03,0.9767
6,2016-02-04,0.9895
7,2016-02-05,0.9838
8,2016-02-15,0.9787
9,2016-02-16,1.0086
10,2016-02-17,1.0168
11,2016-02-18,1.0134
12,2016-02-19,1.0128
13,2016-02-22,1.0362
14,2016-02-23,1.0259
15,2016-02-24,1.0334
16,2016-02-25,0.9684
17,2016-02-26,0.9785
18,2016-02-29,0.9559
19,2016-03-01,0.9736
20,2016-03-02,1.0174
21,2016-03-03,1.0197
22,2016-03-04,1.0288
23,2016-03-07,1.033
24,2016-03-08,1.0339
25,2016-03-09,1.0229
26,2016-03-10,1.004
27,2016-03-11,1.0033
28,2016-03-14,1.0186
29,2016-03-15,1.0217
30,2016-03-16,1.0254
31,2016-03-17,1.0369
32,2016-03-18,1.0548
33,2016-03-21,1.0812
34,2016-03-22,1.0728
35,2016-03-23,1.0764
36,2016-03-24,1.0597
37,2016-03-25,1.0655
38,2016-03-28,1.0558
39,2016-03-29,1.0448
40,2016-03-30,1.0719
41,2016-03-31,1.0719
42,2016-04-01,1.0747
43,2016-04-05,1.0896
44,2016-04-06,1.0888
45,2016-04-07,1.0741
46,2016-04-08,1.0672
47,2016-04-11,1.0844
48,2016-04-12,1.0799
49,2016-04-13,1.0934
50,2016-04-14,1.0985
51,2016-04-15,1.0985
52,2016-04-18,1.0845
53,2016-04-19,1.0873
54,2016-04-20,1.0672
55,2016-04-21,1.0615
56,2016-04-22,1.0674
57,2016-04-25,1.0637
58,2016-04-26,1.0702
59,2016-04-27,1.0666
60,2016-04-28,1.0649
61,2016-04-29,1.0648
62,2016-05-03,1.0838
63,2016-05-04,1.0838
64,2016-05-05,1.0851
65,2016-05-06,1.0558
66,2016-05-09,1.0332
67,2016-05-10,1.0328
68,2016-05-11,1.0383
69,2016-05-12,1.0405
70,2016-05-13,1.0349
71,2016-05-16,1.042
72,2016-05-17,1.0386
73,2016-05-18,1.0299
74,2016-05-19,1.0267
75,2016-05-20,1.0323
76,2016-05-23,1.0374
77,2016-05-24,1.03
78,2016-05-25,1.0284
79,2016-05-26,1.0295
80,2016-05-27,1.0279
81,2016-05-30,1.0293
82,2016-05-31,1.0639
83,2016-06-01,1.061
84,2016-06-02,1.0632
85,2016-06-03,1.0711
86,2016-06-06,1.0699
87,2016-06-07,1.0682
88,2016-06-08,1.0643
89,2016-06-13,1.0353
90,2016-06-14,1.0384
91,2016-06-15,1.0525
92,2016-06-16,1.0479
93,2016-06-17,1.0542
94,2016-06-20,1.0557
95,2016-06-21,1.0524
96,2016-06-22,1.0619
97,2016-06-23,1.0589
98,2016-06-24,1.0472
99,2016-06-27,1.0621
100,2016-06-28,1.0672
101,2016-06-29,1.0724
102,2016-06-30,1.0744
103,2016-07-01,1.0768
104,2016-07-04,1.0983
105,2016-07-05,1.1021
106,2016-07-06,1.1069
107,2016-07-07,1.1068
108,2016-07-08,1.1022
109,2016-07-11,1.1063
110,2016-07-12,1.1272
111,2016-07-13,1.1336
112,2016-07-14,1.1324
113,2016-07-15,1.1341
114,2016-07-18,1.1311
115,2016-07-19,1.1259
116,2016-07-20,1.1234
117,2016-07-21,1.1299
118,2016-07-22,1.1198
119,2016-07-25,1.122
120,2016-07-26,1.1354
121,2016-07-27,1.119
122,2016-07-28,1.1209
123,2016-07-29,1.118
124,2016-08-01,1.1108
125,2016-08-02,1.1146
126,2016-08-03,1.1161
127,2016-08-04,1.1175
128,2016-08-05,1.1184
129,2016-08-08,1.1277
130,2016-08-09,1.1338
131,2016-08-10,1.128
132,2016-08-11,1.1252
133,2016-08-12,1.1466
134,2016-08-15,1.177
135,2016-08-16,1.1718
136,2016-08-17,1.1711
137,2016-08-18,1.168
138,2016-08-19,1.1705
139,2016-08-22,1.1609
140,2016-08-23,1.163
141,2016-08-24,1.1599
142,2016-08-25,1.1541
143,2016-08-26,1.1539
144,2016-08-29,1.1546
145,2016-08-30,1.1554
146,2016-08-31,1.1586
147,2016-09-01,1.1497
148,2016-09-02,1.1524
149,2016-09-05,1.1528
150,2016-09-06,1.1586
151,2016-09-07,1.1585
152,2016-09-08,1.1595
153,2016-09-09,1.1532
154,2016-09-12,1.134
155,2016-09-13,1.1321
156,2016-09-14,1.1242
157,2016-09-19,1.1335
158,2016-09-20,1.1319
159,2016-09-21,1.1336
160,2016-09-22,1.1414
161,2016-09-23,1.1369
162,2016-09-26,1.1184
163,2016-09-27,1.1254
164,2016-09-28,1.1222
165,2016-09-29,1.1263
166,2016-09-30,1.13
167,2016-10-10,1.1424
168,2016-10-11,1.1454
169,2016-10-12,1.143
170,2016-10-13,1.1425
171,2016-10-14,1.1451
172,2016-10-17,1.1364
173,2016-10-18,1.1518
174,2016-10-19,1.1514
175,2016-10-20,1.1517
176,2016-10-21,1.1556
177,2016-10-24,1.1677
178,2016-10-25,1.1695
179,2016-10-26,1.1645
180,2016-10-27,1.1614
181,2016-10-28,1.1597
182,2016-10-31,1.1603
183,2016-11-01,1.1676
184,2016-11-02,1.1586
185,2016-11-03,1.1691
186,2016-11-04,1.1668
187,2016-11-07,1.1691
188,2016-11-08,1.1733
189,2016-11-09,1.1655
190,2016-11-10,1.1781
191,2016-11-11,1.1864
192,2016-11-14,1.1907
193,2016-11-15,1.1896
194,2016-11-16,1.1891
195,2016-11-17,1.191
196,2016-11-18,1.1846
197,2016-11-21,1.194
198,2016-11-22,1.2045
199,2016-11-23,1.2079
200,2016-11-24,1.212
201,2016-11-25,1.2256
202,2016-11-28,1.2313
203,2016-11-29,1.242
204,2016-11-30,1.2304
205,2016-12-01,1.24
206,2016-12-02,1.2269
207,2016-12-05,1.2078
208,2016-12-06,1.2041
209,2016-12-07,1.2099
210,2016-12-08,1.209
211,2016-12-09,1.2203
212,2016-12-12,1.1943
213,2016-12-13,1.1933
214,2016-12-14,1.1841
215,2016-12-15,1.168
216,2016-12-16,1.1686
217,2016-12-19,1.1638
218,2016-12-20,1.1575
219,2016-12-21,1.169
220,2016-12-22,1.1684
221,2016-12-23,1.1592
222,2016-12-26,1.1656
223,2016-12-27,1.1637
224,2016-12-28,1.1586
225,2016-12-29,1.1576
226,2016-12-30,1.1632
227,2016-12-31,1.1631
228,2017-01-03,1.1759
229,2017-01-04,1.1874
230,2017-01-05,1.1864
231,2017-01-06,1.1818
232,2017-01-09,1.1891
233,2017-01-10,1.1875
234,2017-01-11,1.1791
235,2017-01-12,1.1722
236,2017-01-13,1.1739
237,2017-01-16,1.1747
238,2017-01-17,1.1767
239,2017-01-18,1.1833
240,2017-01-19,1.1793
241,2017-01-20,1.1895
242,2017-01-23,1.1936
243,2017-01-24,1.1956
244,2017-01-25,1.2014
245,2017-01-26,1.2052
246,2017-02-03,1.1967
