,endDate,NAV
0,2015-01-20,1.0
1,2015-01-23,1.0117
2,2015-01-26,1.0316
3,2015-01-27,1.033
4,2015-01-28,1.029
5,2015-01-29,1.0243
6,2015-01-30,1.0122
7,2015-02-02,1.0091
8,2015-02-03,1.0242
9,2015-02-04,1.0194
10,2015-02-05,1.0138
11,2015-02-06,0.9929
12,2015-02-09,0.9871
13,2015-02-10,0.9997
14,2015-02-11,1.0101
15,2015-02-12,1.0167
16,2015-02-13,1.0311
17,2015-02-16,1.0481
18,2015-02-17,1.0545
19,2015-02-25,1.0531
20,2015-02-26,1.0634
21,2015-02-27,1.0717
22,2015-03-02,1.0923
23,2015-03-03,1.0888
24,2015-03-04,1.1047
25,2015-03-05,1.1045
26,2015-03-06,1.0909
27,2015-03-09,1.0996
28,2015-03-10,1.1076
29,2015-03-11,1.1051
30,2015-03-12,1.1043
31,2015-03-13,1.1158
32,2015-03-16,1.1476
33,2015-03-17,1.1636
34,2015-03-18,1.1813
35,2015-03-19,1.1892
36,2015-03-20,1.1993
37,2015-03-23,1.225
38,2015-03-24,1.2286
39,2015-03-25,1.2416
40,2015-03-26,1.2332
41,2015-03-27,1.2466
42,2015-03-30,1.2613
43,2015-03-31,1.2622
44,2015-04-01,1.2915
45,2015-04-02,1.3137
46,2015-04-03,1.3329
47,2015-04-07,1.3625
48,2015-04-08,1.3514
49,2015-04-09,1.3425
50,2015-04-10,1.3783
51,2015-04-13,1.4089
52,2015-04-14,1.4084
53,2015-04-15,1.3549
54,2015-04-16,1.3722
55,2015-04-17,1.383
56,2015-04-20,1.3551
57,2015-04-21,1.4012
58,2015-04-22,1.4361
59,2015-04-23,1.4485
60,2015-04-24,1.4459
61,2015-04-27,1.4588
62,2015-04-28,1.4125
63,2015-04-29,1.4377
64,2015-04-30,1.4431
65,2015-05-04,1.4502
66,2015-05-05,1.3967
67,2015-05-06,1.377
68,2015-05-07,1.3464
69,2015-05-08,1.3985
70,2015-05-11,1.4595
71,2015-05-12,1.491
72,2015-05-13,1.5023
73,2015-05-14,1.4996
74,2015-05-15,1.4866
75,2015-05-18,1.5124
76,2015-05-19,1.5484
77,2015-05-20,1.573
78,2015-05-21,1.6281
79,2015-05-22,1.6527
80,2015-05-25,1.696
81,2015-05-26,1.7492
82,2015-05-27,1.7693
83,2015-05-28,1.6643
84,2015-05-29,1.6803
85,2015-06-01,1.766
86,2015-06-02,1.8303
87,2015-06-03,1.845
88,2015-06-04,1.8419
89,2015-06-05,1.8699
90,2015-06-08,1.8507
91,2015-06-09,1.8477
92,2015-06-10,1.8789
93,2015-06-11,1.9046
94,2015-06-12,1.9336
95,2015-06-15,1.8987
96,2015-06-16,1.8262
97,2015-06-17,1.8622
98,2015-06-18,1.802
99,2015-06-19,1.6809
100,2015-06-23,1.6914
101,2015-06-24,1.729
102,2015-06-25,1.669
103,2015-06-26,1.5317
104,2015-06-29,1.4316
105,2015-06-30,1.5018
106,2015-07-01,1.4227
107,2015-07-02,1.3276
108,2015-07-03,1.2466
109,2015-07-06,1.2155
110,2015-07-07,1.1261
111,2015-07-08,1.0873
112,2015-07-09,1.1308
113,2015-07-10,1.1731
114,2015-07-13,1.2366
115,2015-07-14,1.2556
116,2015-07-15,1.1793
117,2015-07-16,1.1929
118,2015-07-17,1.2548
119,2015-07-20,1.2731
120,2015-07-21,1.2903
121,2015-07-22,1.3064
122,2015-07-23,1.3449
123,2015-07-24,1.3249
124,2015-07-27,1.2264
125,2015-07-28,1.2034
126,2015-07-29,1.2625
127,2015-07-30,1.2278
128,2015-07-31,1.2165
129,2015-08-03,1.1872
130,2015-08-04,1.2506
131,2015-08-05,1.2346
132,2015-08-06,1.2271
133,2015-08-07,1.2626
134,2015-08-10,1.3239
135,2015-08-11,1.3307
136,2015-08-12,1.3147
137,2015-08-13,1.3446
138,2015-08-14,1.3583
139,2015-08-17,1.3874
140,2015-08-18,1.2871
141,2015-08-19,1.3154
142,2015-08-20,1.2709
143,2015-08-21,1.2047
144,2015-08-24,1.1121
145,2015-08-25,1.029
146,2015-08-26,0.9776
147,2015-08-27,1.0093
148,2015-08-28,1.0736
149,2015-08-31,1.0324
150,2015-09-01,0.9671
151,2015-09-02,0.9579
152,2015-09-07,0.9614
153,2015-09-08,1.0002
154,2015-09-09,1.0294
155,2015-09-10,1.0109
156,2015-09-11,1.0193
157,2015-09-14,0.947
158,2015-09-15,0.89
159,2015-09-16,0.9518
160,2015-09-17,0.9347
161,2015-09-18,0.946
162,2015-09-21,0.9808
163,2015-09-22,0.9883
164,2015-09-23,0.9765
165,2015-09-24,0.9912
166,2015-09-25,0.9567
167,2015-09-28,0.9751
168,2015-09-29,0.9563
169,2015-09-30,0.9596
170,2015-10-08,1.0003
171,2015-10-09,1.0163
172,2015-10-12,1.0588
173,2015-10-13,1.0733
174,2015-10-14,1.0608
175,2015-10-15,1.0939
176,2015-10-16,1.1127
177,2015-10-19,1.1123
178,2015-10-20,1.1321
179,2015-10-21,1.0639
180,2015-10-22,1.1029
181,2015-10-23,1.1296
182,2015-10-26,1.1376
183,2015-10-27,1.147
184,2015-10-28,1.1188
185,2015-10-29,1.1295
186,2015-10-30,1.1254
187,2015-11-02,1.1024
188,2015-11-03,1.1011
189,2015-11-04,1.1548
190,2015-11-05,1.1579
191,2015-11-06,1.185
192,2015-11-09,1.2004
193,2015-11-10,1.2051
194,2015-11-11,1.2218
195,2015-11-12,1.2211
196,2015-11-13,1.203
197,2015-11-16,1.2263
198,2015-11-17,1.2158
199,2015-11-18,1.1973
200,2015-11-19,1.2272
201,2015-11-20,1.2411
202,2015-11-23,1.2309
203,2015-11-24,1.2395
204,2015-11-25,1.2585
205,2015-11-26,1.251
206,2015-11-27,1.1736
207,2015-11-30,1.1784
208,2015-12-01,1.1838
209,2015-12-02,1.1778
210,2015-12-03,1.2028
211,2015-12-04,1.1941
212,2015-12-07,1.208
213,2015-12-08,1.1774
214,2015-12-09,1.1719
215,2015-12-10,1.1685
216,2015-12-11,1.1599
217,2015-12-14,1.1818
218,2015-12-15,1.1906
219,2015-12-16,1.1965
220,2015-12-17,1.2247
221,2015-12-18,1.2218
222,2015-12-21,1.2351
223,2015-12-22,1.2454
224,2015-12-23,1.2324
225,2015-12-24,1.2296
226,2015-12-25,1.2366
227,2015-12-28,1.2088
228,2015-12-29,1.2191
229,2015-12-30,1.2287
230,2015-12-31,1.2102
231,2016-01-04,1.1158
232,2016-01-05,1.1009
233,2016-01-06,1.1266
234,2016-01-07,1.0336
235,2016-01-08,1.0493
236,2016-01-11,0.9779
237,2016-01-12,0.9792
238,2016-01-13,0.945
239,2016-01-14,0.9768
240,2016-01-15,0.9404
241,2016-01-18,0.9544
242,2016-01-19,0.9892
243,2016-01-20,0.98
244,2016-01-21,0.9415
245,2016-01-22,0.9574
246,2016-01-25,0.9666
247,2016-01-26,0.895
248,2016-01-27,0.8816
249,2016-01-28,0.8424
250,2016-01-29,0.8737
