,endDate,NAV
0,2016-06-15,1.0
1,2016-06-16,1.0
2,2016-06-17,1.0055
3,2016-06-20,1.0089
4,2016-06-21,0.9985
5,2016-06-22,1.0127
6,2016-06-23,1.008
7,2016-06-24,0.9963
8,2016-06-27,1.0186
9,2016-06-28,1.0289
10,2016-06-29,1.0317
11,2016-06-30,1.0332
12,2016-07-01,1.0314
13,2016-07-04,1.0502
14,2016-07-05,1.056
15,2016-07-06,1.0605
16,2016-07-07,1.0644
17,2016-07-08,1.0617
18,2016-07-11,1.0636
19,2016-07-12,1.0765
20,2016-07-13,1.0847
21,2016-07-14,1.0864
22,2016-07-15,1.0844
23,2016-07-18,1.0795
24,2016-07-19,1.0824
25,2016-07-20,1.0798
26,2016-07-21,1.0835
27,2016-07-22,1.0755
28,2016-07-25,1.0784
29,2016-07-26,1.0914
30,2016-07-27,1.0502
31,2016-07-28,1.0522
32,2016-07-29,1.0456
33,2016-08-01,1.0303
34,2016-08-02,1.0396
35,2016-08-03,1.0444
36,2016-08-04,1.0506
37,2016-08-05,1.0454
38,2016-08-08,1.0594
39,2016-08-09,1.0678
40,2016-08-10,1.0641
41,2016-08-11,1.0499
42,2016-08-12,1.0613
43,2016-08-15,1.0839
44,2016-08-16,1.0882
45,2016-08-17,1.0914
46,2016-08-18,1.0918
47,2016-08-19,1.0934
48,2016-08-22,1.0811
49,2016-08-23,1.0825
50,2016-08-24,1.0836
51,2016-08-25,1.0754
52,2016-08-26,1.0799
53,2016-08-29,1.0826
54,2016-08-30,1.0825
55,2016-08-31,1.0838
56,2016-09-01,1.0758
57,2016-09-02,1.0721
58,2016-09-05,1.0778
59,2016-09-06,1.0937
60,2016-09-07,1.094
61,2016-09-08,1.0977
62,2016-09-09,1.091
63,2016-09-12,1.0629
64,2016-09-13,1.0674
65,2016-09-14,1.061
66,2016-09-19,1.0716
67,2016-09-20,1.0715
68,2016-09-21,1.072
69,2016-09-22,1.0787
70,2016-09-23,1.0764
71,2016-09-26,1.0564
72,2016-09-27,1.0633
73,2016-09-28,1.0626
74,2016-09-29,1.0656
75,2016-09-30,1.0702
76,2016-10-10,1.0887
77,2016-10-11,1.0946
78,2016-10-12,1.0941
79,2016-10-13,1.0945
80,2016-10-14,1.0922
81,2016-10-17,1.0834
82,2016-10-18,1.0985
83,2016-10-19,1.0962
84,2016-10-20,1.0967
85,2016-10-21,1.093
86,2016-10-24,1.1022
87,2016-10-25,1.1054
88,2016-10-26,1.1006
89,2016-10-27,1.0987
90,2016-10-28,1.0895
91,2016-10-31,1.0888
92,2016-11-01,1.0975
93,2016-11-02,1.0894
94,2016-11-03,1.0939
95,2016-11-04,1.0906
96,2016-11-07,1.0914
97,2016-11-08,1.0969
98,2016-11-09,1.0891
99,2016-11-10,1.1024
100,2016-11-11,1.11
