,endDate,NAV
0,2016-01-04,1.125
1,2016-01-05,1.126
2,2016-01-06,1.146
3,2016-01-07,1.069
4,2016-01-08,1.087
5,2016-01-11,1.033
6,2016-01-12,1.037
7,2016-01-13,1.016
8,2016-01-14,1.037
9,2016-01-15,1.004
10,2016-01-18,1.011
11,2016-01-19,1.043
12,2016-01-20,1.026
13,2016-01-21,0.997
14,2016-01-22,1.008
15,2016-01-25,1.013
16,2016-01-26,0.949
17,2016-01-27,0.945
18,2016-01-28,0.918
19,2016-01-29,0.95
20,2016-02-01,0.937
21,2016-02-02,0.958
22,2016-02-03,0.957
23,2016-02-04,0.972
24,2016-02-05,0.963
25,2016-02-15,0.957
26,2016-02-16,0.988
27,2016-02-17,0.996
28,2016-02-18,0.995
29,2016-02-19,0.994
30,2016-02-22,1.018
31,2016-02-23,1.009
32,2016-02-24,1.015
33,2016-02-25,0.948
34,2016-02-26,0.957
35,2016-02-29,0.931
36,2016-03-01,0.95
37,2016-03-02,0.992
38,2016-03-03,0.995
39,2016-03-04,1.001
40,2016-03-07,1.008
41,2016-03-08,1.008
42,2016-03-09,0.996
43,2016-03-10,0.979
44,2016-03-11,0.98
45,2016-03-14,1.0
46,2016-03-15,1.0
47,2016-03-16,1.004
48,2016-03-17,1.02
49,2016-03-18,1.039
50,2016-03-21,1.065
51,2016-03-22,1.057
52,2016-03-23,1.062
53,2016-03-24,1.047
54,2016-03-25,1.052
55,2016-03-28,1.042
56,2016-03-29,1.03
57,2016-03-30,1.059
58,2016-03-31,1.059
59,2016-04-01,1.06
60,2016-04-05,1.077
61,2016-04-06,1.078
62,2016-04-07,1.063
63,2016-04-08,1.054
64,2016-04-11,1.07
65,2016-04-12,1.066
66,2016-04-13,1.08
67,2016-04-14,1.086
68,2016-04-15,1.085
69,2016-04-18,1.072
70,2016-04-19,1.075
71,2016-04-20,1.051
72,2016-04-21,1.044
73,2016-04-22,1.049
74,2016-04-25,1.045
75,2016-04-26,1.051
76,2016-04-27,1.048
77,2016-04-28,1.047
78,2016-04-29,1.046
79,2016-05-03,1.065
80,2016-05-04,1.065
81,2016-05-05,1.068
82,2016-05-06,1.04
83,2016-05-09,1.015
84,2016-05-10,1.015
85,2016-05-11,1.019
86,2016-05-12,1.02
87,2016-05-13,1.017
88,2016-05-16,1.023
89,2016-05-17,1.021
90,2016-05-18,1.013
91,2016-05-19,1.012
92,2016-05-20,1.018
93,2016-05-23,1.022
94,2016-05-24,1.014
95,2016-05-25,1.013
96,2016-05-26,1.015
97,2016-05-27,1.015
98,2016-05-30,1.016
99,2016-05-31,1.05
100,2016-06-01,1.048
101,2016-06-02,1.05
102,2016-06-03,1.058
103,2016-06-06,1.056
104,2016-06-07,1.056
105,2016-06-08,1.054
106,2016-06-13,1.023
107,2016-06-14,1.027
108,2016-06-15,1.041
109,2016-06-16,1.035
110,2016-06-17,1.042
111,2016-06-20,1.044
112,2016-06-21,1.042
113,2016-06-22,1.052
114,2016-06-23,1.048
115,2016-06-24,1.038
116,2016-06-27,1.052
117,2016-06-28,1.057
118,2016-06-29,1.063
119,2016-06-30,1.066
120,2016-07-01,1.067
121,2016-07-04,1.089
122,2016-07-05,1.093
123,2016-07-06,1.098
124,2016-07-07,1.099
125,2016-07-08,1.095
126,2016-07-11,1.099
127,2016-07-12,1.122
128,2016-07-13,1.128
129,2016-07-14,1.127
130,2016-07-15,1.128
131,2016-07-18,1.124
132,2016-07-19,1.12
133,2016-07-20,1.118
134,2016-07-21,1.123
135,2016-07-22,1.113
136,2016-07-25,1.115
137,2016-07-26,1.128
138,2016-07-27,1.109
139,2016-07-28,1.111
140,2016-07-29,1.106
141,2016-08-01,1.098
142,2016-08-02,1.101
143,2016-08-03,1.102
144,2016-08-04,1.106
145,2016-08-05,1.109
146,2016-08-08,1.12
147,2016-08-09,1.128
148,2016-08-10,1.125
149,2016-08-11,1.12
150,2016-08-12,1.14
151,2016-08-15,1.171
152,2016-08-16,1.17
153,2016-08-17,1.168
154,2016-08-18,1.165
155,2016-08-19,1.165
156,2016-08-22,1.155
157,2016-08-23,1.157
158,2016-08-24,1.154
159,2016-08-25,1.15
160,2016-08-26,1.15
161,2016-08-29,1.15
162,2016-08-30,1.152
163,2016-08-31,1.156
164,2016-09-01,1.148
165,2016-09-02,1.149
166,2016-09-05,1.149
167,2016-09-06,1.159
168,2016-09-07,1.158
169,2016-09-08,1.159
170,2016-09-09,1.153
171,2016-09-12,1.132
172,2016-09-13,1.131
173,2016-09-14,1.123
174,2016-09-19,1.132
175,2016-09-20,1.129
176,2016-09-21,1.132
177,2016-09-22,1.139
178,2016-09-23,1.136
179,2016-09-26,1.118
180,2016-09-27,1.125
181,2016-09-28,1.121
182,2016-09-29,1.126
183,2016-09-30,1.13
184,2016-10-10,1.143
185,2016-10-11,1.146
186,2016-10-12,1.145
187,2016-10-13,1.145
188,2016-10-14,1.145
189,2016-10-17,1.138
190,2016-10-18,1.153
191,2016-10-19,1.153
192,2016-10-20,1.155
193,2016-10-21,1.158
194,2016-10-24,1.171
195,2016-10-25,1.171
196,2016-10-26,1.167
197,2016-10-27,1.166
198,2016-10-28,1.163
199,2016-10-31,1.162
200,2016-11-01,1.171
201,2016-11-02,1.161
202,2016-11-03,1.171
203,2016-11-04,1.168
204,2016-11-07,1.168
205,2016-11-08,1.174
206,2016-11-09,1.166
207,2016-11-10,1.178
208,2016-11-11,1.189
209,2016-11-14,1.194
210,2016-11-15,1.195
211,2016-11-16,1.194
212,2016-11-17,1.196
213,2016-11-18,1.189
214,2016-11-21,1.198
215,2016-11-22,1.207
216,2016-11-23,1.21
217,2016-11-24,1.214
218,2016-11-25,1.223
219,2016-11-28,1.228
220,2016-11-29,1.233
221,2016-11-30,1.224
222,2016-12-01,1.232
223,2016-12-02,1.218
224,2016-12-05,1.202
225,2016-12-06,1.201
226,2016-12-07,1.207
227,2016-12-08,1.204
228,2016-12-09,1.213
229,2016-12-12,1.183
230,2016-12-13,1.181
231,2016-12-14,1.174
232,2016-12-15,1.164
233,2016-12-16,1.167
234,2016-12-19,1.162
235,2016-12-20,1.156
236,2016-12-21,1.167
237,2016-12-22,1.166
238,2016-12-23,1.157
239,2016-12-26,1.161
240,2016-12-27,1.159
241,2016-12-28,1.155
242,2016-12-29,1.155
243,2016-12-30,1.159
244,2016-12-31,1.159
245,2017-01-03,1.169
246,2017-01-04,1.178
247,2017-01-05,1.176
248,2017-01-06,1.17
249,2017-01-09,1.176
250,2017-01-10,1.174
251,2017-01-11,1.167
252,2017-01-12,1.162
253,2017-01-13,1.161
254,2017-01-16,1.16
255,2017-01-17,1.162
256,2017-01-18,1.166
257,2017-01-19,1.164
258,2017-01-20,1.173
259,2017-01-23,1.177
260,2017-01-24,1.178
261,2017-01-25,1.182
262,2017-01-26,1.187
263,2017-02-03,1.178
264,2017-02-06,1.182
265,2017-02-07,1.18
266,2017-02-08,1.186
267,2017-02-09,1.191
268,2017-02-10,1.197
269,2017-02-13,1.205
270,2017-02-14,1.206
271,2017-02-15,1.201
272,2017-02-16,1.207
273,2017-02-17,1.2
274,2017-02-20,1.217
275,2017-02-21,1.221
276,2017-02-22,1.225
277,2017-02-23,1.221
278,2017-02-24,1.221
279,2017-02-27,1.211
280,2017-02-28,1.215
281,2017-03-01,1.216
282,2017-03-02,1.21
283,2017-03-03,1.21
284,2017-03-06,1.218
285,2017-03-07,1.221
286,2017-03-08,1.218
287,2017-03-09,1.209
288,2017-03-10,1.21
289,2017-03-13,1.219
290,2017-03-14,1.219
291,2017-03-15,1.22
292,2017-03-16,1.228
293,2017-03-17,1.217
294,2017-03-20,1.219
295,2017-03-21,1.223
296,2017-03-22,1.218
297,2017-03-23,1.221
298,2017-03-24,1.231
299,2017-03-27,1.227
300,2017-03-28,1.224
301,2017-03-29,1.222
302,2017-03-30,1.212
303,2017-03-31,1.219
304,2017-04-05,1.235
305,2017-04-06,1.239
306,2017-04-07,1.239
307,2017-04-10,1.232
308,2017-04-11,1.236
309,2017-04-12,1.232
310,2017-04-13,1.235
311,2017-04-14,1.226
312,2017-04-17,1.222
313,2017-04-18,1.216
314,2017-04-19,1.209
315,2017-04-20,1.213
316,2017-04-21,1.214
317,2017-04-24,1.199
318,2017-04-25,1.202
319,2017-04-26,1.203
320,2017-04-27,1.204
321,2017-04-28,1.202
322,2017-05-02,1.199
323,2017-05-03,1.194
324,2017-05-04,1.189
325,2017-05-05,1.182
326,2017-05-08,1.176
327,2017-05-09,1.174
328,2017-05-10,1.17
329,2017-05-11,1.176
330,2017-05-12,1.186
331,2017-05-15,1.192
332,2017-05-16,1.202
333,2017-05-17,1.195
334,2017-05-18,1.193
335,2017-05-19,1.193
336,2017-05-22,1.194
337,2017-05-23,1.198
338,2017-05-24,1.199
339,2017-05-25,1.221
340,2017-05-26,1.219
341,2017-05-31,1.223
342,2017-06-01,1.219
343,2017-06-02,1.217
344,2017-06-05,1.213
345,2017-06-06,1.22
346,2017-06-07,1.235
347,2017-06-08,1.243
348,2017-06-09,1.248
349,2017-06-12,1.247
350,2017-06-13,1.252
351,2017-06-14,1.24
352,2017-06-15,1.241
353,2017-06-16,1.238
354,2017-06-19,1.25
355,2017-06-20,1.248
356,2017-06-21,1.259
357,2017-06-22,1.26
358,2017-06-23,1.269
359,2017-06-26,1.288
360,2017-06-27,1.291
361,2017-06-28,1.284
362,2017-06-29,1.292
363,2017-06-30,1.291
364,2017-07-03,1.287
365,2017-07-04,1.278
366,2017-07-05,1.293
367,2017-07-06,1.294
368,2017-07-07,1.296
369,2017-07-10,1.293
370,2017-07-11,1.297
371,2017-07-12,1.293
372,2017-07-13,1.304
373,2017-07-14,1.31
374,2017-07-17,1.297
375,2017-07-18,1.301
376,2017-07-19,1.318
377,2017-07-20,1.322
378,2017-07-21,1.318
379,2017-07-24,1.326
380,2017-07-25,1.318
381,2017-07-26,1.313
382,2017-07-27,1.315
383,2017-07-28,1.317
384,2017-07-31,1.322
385,2017-08-01,1.332
386,2017-08-02,1.328
387,2017-08-03,1.317
388,2017-08-04,1.311
389,2017-08-07,1.316
390,2017-08-08,1.318
391,2017-08-09,1.317
392,2017-08-10,1.31
393,2017-08-11,1.288
394,2017-08-14,1.302
395,2017-08-15,1.305
396,2017-08-16,1.304
397,2017-08-17,1.311
