,endDate,NAV
0,2019-01-18,1.4135
1,2019-01-21,1.4225
2,2019-01-22,1.4057
3,2019-01-23,1.4075
4,2019-01-24,1.4134
5,2019-01-25,1.4241
6,2019-01-28,1.4253
7,2019-01-29,1.4327
8,2019-01-30,1.4234
9,2019-01-31,1.4357
10,2019-02-01,1.4524
11,2019-02-11,1.4686
12,2019-02-12,1.4754
13,2019-02-13,1.4955
14,2019-02-14,1.4944
15,2019-02-15,1.4662
16,2019-02-18,1.508
17,2019-02-19,1.5044
18,2019-02-20,1.5088
19,2019-02-21,1.5013
20,2019-02-22,1.5234
21,2019-02-25,1.6034
22,2019-02-26,1.5765
23,2019-02-27,1.5758
24,2019-02-28,1.5767
25,2019-03-01,1.6123
26,2019-03-04,1.6303
27,2019-03-05,1.636
28,2019-03-06,1.6463
29,2019-03-07,1.6247
30,2019-03-08,1.5703
31,2019-03-11,1.6009
32,2019-03-12,1.6152
33,2019-03-13,1.6076
34,2019-03-14,1.5989
35,2019-03-15,1.6202
36,2019-03-18,1.6633
37,2019-03-19,1.6562
38,2019-03-20,1.6577
39,2019-03-21,1.6591
40,2019-03-22,1.6595
41,2019-03-25,1.6206
42,2019-03-26,1.6076
43,2019-03-27,1.6276
44,2019-03-28,1.618
45,2019-03-29,1.6736
46,2019-04-01,1.7166
47,2019-04-02,1.7152
48,2019-04-03,1.7344
49,2019-04-04,1.7536
50,2019-04-08,1.7599
51,2019-04-09,1.7683
52,2019-04-10,1.7776
53,2019-04-11,1.7407
54,2019-04-12,1.7385
55,2019-04-15,1.7342
56,2019-04-16,1.7779
57,2019-04-17,1.7781
58,2019-04-18,1.7681
59,2019-04-19,1.7929
60,2019-04-22,1.7481
61,2019-04-23,1.7476
62,2019-04-24,1.7493
63,2019-04-25,1.7141
64,2019-04-26,1.6902
65,2019-04-29,1.7041
66,2019-04-30,1.7083
