,endDate,NAV
0,2016-01-04,0.885
1,2016-01-05,0.876
2,2016-01-06,0.89
3,2016-01-07,0.828
4,2016-01-08,0.842
5,2016-01-11,0.806
6,2016-01-12,0.812
7,2016-01-13,0.794
8,2016-01-14,0.815
9,2016-01-15,0.793
10,2016-01-18,0.799
11,2016-01-19,0.822
12,2016-01-20,0.813
13,2016-01-21,0.794
14,2016-01-22,0.801
15,2016-01-25,0.804
16,2016-01-26,0.76
17,2016-01-27,0.758
18,2016-01-28,0.743
19,2016-01-29,0.77
20,2016-02-01,0.772
21,2016-02-02,0.789
22,2016-02-03,0.791
23,2016-02-04,0.803
24,2016-02-05,0.795
25,2016-02-15,0.798
26,2016-02-16,0.82
27,2016-02-17,0.819
28,2016-02-18,0.813
29,2016-02-19,0.813
30,2016-02-22,0.827
31,2016-02-23,0.822
32,2016-02-24,0.818
33,2016-02-25,0.768
34,2016-02-26,0.769
35,2016-02-29,0.747
36,2016-03-01,0.766
37,2016-03-02,0.788
38,2016-03-03,0.787
39,2016-03-04,0.781
40,2016-03-07,0.788
41,2016-03-08,0.794
42,2016-03-09,0.785
43,2016-03-10,0.777
44,2016-03-11,0.775
45,2016-03-14,0.795
46,2016-03-15,0.793
47,2016-03-16,0.785
48,2016-03-17,0.806
49,2016-03-18,0.823
50,2016-03-21,0.838
51,2016-03-22,0.835
52,2016-03-23,0.841
53,2016-03-24,0.83
54,2016-03-25,0.831
55,2016-03-28,0.83
56,2016-03-29,0.815
57,2016-03-30,0.839
58,2016-03-31,0.839
59,2016-04-01,0.835
60,2016-04-05,0.859
61,2016-04-06,0.87
62,2016-04-07,0.858
63,2016-04-08,0.854
64,2016-04-11,0.87
65,2016-04-12,0.87
66,2016-04-13,0.878
67,2016-04-14,0.883
68,2016-04-15,0.881
69,2016-04-18,0.87
70,2016-04-19,0.874
71,2016-04-20,0.854
72,2016-04-21,0.844
73,2016-04-22,0.852
74,2016-04-25,0.858
75,2016-04-26,0.865
76,2016-04-27,0.867
77,2016-04-28,0.867
78,2016-04-29,0.868
79,2016-05-03,0.888
80,2016-05-04,0.889
81,2016-05-05,0.889
82,2016-05-06,0.861
83,2016-05-09,0.836
84,2016-05-10,0.84
85,2016-05-11,0.841
86,2016-05-12,0.848
87,2016-05-13,0.844
88,2016-05-16,0.857
89,2016-05-17,0.853
90,2016-05-18,0.84
91,2016-05-19,0.841
92,2016-05-20,0.849
93,2016-05-23,0.858
94,2016-05-24,0.85
95,2016-05-25,0.846
96,2016-05-26,0.848
97,2016-05-27,0.849
98,2016-05-30,0.846
99,2016-05-31,0.871
100,2016-06-01,0.876
101,2016-06-02,0.884
102,2016-06-03,0.888
103,2016-06-06,0.892
104,2016-06-07,0.896
105,2016-06-08,0.896
106,2016-06-13,0.869
107,2016-06-14,0.87
108,2016-06-15,0.899
109,2016-06-16,0.888
110,2016-06-17,0.893
111,2016-06-20,0.895
112,2016-06-21,0.891
113,2016-06-22,0.902
114,2016-06-23,0.896
115,2016-06-24,0.887
116,2016-06-27,0.906
117,2016-06-28,0.915
118,2016-06-29,0.909
119,2016-06-30,0.912
120,2016-07-01,0.907
121,2016-07-04,0.917
122,2016-07-05,0.918
123,2016-07-06,0.923
124,2016-07-07,0.924
125,2016-07-08,0.921
126,2016-07-11,0.914
127,2016-07-12,0.922
128,2016-07-13,0.927
129,2016-07-14,0.927
130,2016-07-15,0.931
131,2016-07-18,0.931
132,2016-07-19,0.934
133,2016-07-20,0.937
134,2016-07-21,0.944
135,2016-07-22,0.937
136,2016-07-25,0.937
137,2016-07-26,0.947
138,2016-07-27,0.926
139,2016-07-28,0.927
140,2016-07-29,0.926
141,2016-08-01,0.918
142,2016-08-02,0.927
143,2016-08-03,0.933
144,2016-08-04,0.937
145,2016-08-05,0.931
146,2016-08-08,0.937
147,2016-08-09,0.941
148,2016-08-10,0.938
149,2016-08-11,0.931
150,2016-08-12,0.94
151,2016-08-15,0.952
152,2016-08-16,0.954
153,2016-08-17,0.953
154,2016-08-18,0.949
155,2016-08-19,0.947
156,2016-08-22,0.94
157,2016-08-23,0.943
158,2016-08-24,0.946
159,2016-08-25,0.942
160,2016-08-26,0.943
161,2016-08-29,0.94
162,2016-08-30,0.938
163,2016-08-31,0.938
164,2016-09-01,0.932
165,2016-09-02,0.931
166,2016-09-05,0.935
167,2016-09-06,0.947
168,2016-09-07,0.947
169,2016-09-08,0.959
170,2016-09-09,0.955
171,2016-09-12,0.938
172,2016-09-13,0.939
173,2016-09-14,0.939
174,2016-09-19,0.945
175,2016-09-20,0.943
176,2016-09-21,0.954
177,2016-09-22,0.96
178,2016-09-23,0.961
179,2016-09-26,0.949
180,2016-09-27,0.955
181,2016-09-28,0.959
182,2016-09-29,0.964
183,2016-09-30,0.964
184,2016-10-10,0.976
185,2016-10-11,0.98
186,2016-10-12,0.98
187,2016-10-13,0.98
188,2016-10-14,0.98
189,2016-10-17,0.969
190,2016-10-18,0.98
191,2016-10-19,0.978
192,2016-10-20,0.977
193,2016-10-21,0.973
194,2016-10-24,0.976
195,2016-10-25,0.974
196,2016-10-26,0.972
197,2016-10-27,0.973
198,2016-10-28,0.974
199,2016-10-31,0.971
200,2016-11-01,0.977
201,2016-11-02,0.975
202,2016-11-03,0.977
203,2016-11-04,0.971
204,2016-11-07,0.975
205,2016-11-08,0.985
206,2016-11-09,0.978
207,2016-11-10,0.988
208,2016-11-11,0.99
209,2016-11-14,0.987
210,2016-11-15,0.987
211,2016-11-16,0.99
212,2016-11-17,0.986
213,2016-11-18,0.983
214,2016-11-21,0.979
215,2016-11-22,0.983
216,2016-11-23,0.982
217,2016-11-24,0.985
218,2016-11-25,0.99
219,2016-11-28,0.991
220,2016-11-29,0.991
221,2016-11-30,0.988
222,2016-12-01,0.993
223,2016-12-02,0.988
224,2016-12-05,0.983
225,2016-12-06,0.983
226,2016-12-07,0.991
227,2016-12-08,0.99
228,2016-12-09,0.987
229,2016-12-12,0.96
230,2016-12-13,0.961
231,2016-12-14,0.952
232,2016-12-15,0.949
233,2016-12-16,0.956
234,2016-12-19,0.952
235,2016-12-20,0.956
236,2016-12-21,0.964
237,2016-12-22,0.959
238,2016-12-23,0.951
239,2016-12-26,0.955
240,2016-12-27,0.958
241,2016-12-28,0.958
242,2016-12-29,0.957
243,2016-12-30,0.967
244,2016-12-31,0.967
245,2017-01-03,0.967
246,2017-01-04,0.976
247,2017-01-05,0.969
248,2017-01-06,0.962
249,2017-01-09,0.96
250,2017-01-10,0.962
251,2017-01-11,0.953
252,2017-01-12,0.947
253,2017-01-13,0.936
254,2017-01-16,0.925
255,2017-01-17,0.929
256,2017-01-18,0.93
257,2017-01-19,0.777
258,2017-01-20,0.787
259,2017-01-23,0.788
260,2017-01-24,0.786
261,2017-01-25,0.789
262,2017-01-26,0.792
263,2017-02-03,0.79
264,2017-02-06,0.797
265,2017-02-07,0.795
266,2017-02-08,0.798
267,2017-02-09,0.803
268,2017-02-10,0.804
269,2017-02-13,0.809
270,2017-02-14,0.807
271,2017-02-15,0.801
272,2017-02-16,0.804
273,2017-02-17,0.802
274,2017-02-20,0.807
275,2017-02-21,0.813
276,2017-02-22,0.815
277,2017-02-23,0.817
278,2017-02-24,0.822
