,endDate,NAV
0,2018-03-19,2.3716
1,2018-03-20,2.3781
2,2018-03-21,2.3612
3,2018-03-22,2.3476
4,2018-03-23,2.2169
5,2018-03-26,2.2526
6,2018-03-27,2.3004
7,2018-03-28,2.2828
8,2018-03-29,2.3052
9,2018-03-30,2.3292
10,2018-04-02,2.3253
11,2018-04-03,2.3009
12,2018-04-04,2.2842
13,2018-04-09,2.2863
14,2018-04-10,2.3027
15,2018-04-11,2.3151
16,2018-04-12,2.2986
17,2018-04-13,2.2913
18,2018-04-16,2.2704
19,2018-04-17,2.2288
20,2018-04-18,2.2542
21,2018-04-19,2.2719
22,2018-04-20,2.2247
23,2018-04-23,2.2063
24,2018-04-24,2.2545
25,2018-04-25,2.2617
26,2018-04-26,2.2242
27,2018-04-27,2.2307
28,2018-05-02,2.2259
29,2018-05-03,2.2497
30,2018-05-04,2.2476
31,2018-05-07,2.285
32,2018-05-08,2.298
33,2018-05-09,2.2944
34,2018-05-10,2.2981
35,2018-05-11,2.2834
36,2018-05-14,2.2777
37,2018-05-15,2.2974
38,2018-05-16,2.2948
39,2018-05-17,2.2866
40,2018-05-18,2.2916
41,2018-05-21,2.3221
42,2018-05-22,2.3301
43,2018-05-23,2.2992
44,2018-05-24,2.2926
45,2018-05-25,2.267
46,2018-05-28,2.2511
47,2018-05-29,2.2354
48,2018-05-30,2.171
49,2018-05-31,2.1979
50,2018-06-01,2.1802
51,2018-06-04,2.181
52,2018-06-05,2.2126
53,2018-06-06,2.213
54,2018-06-07,2.1979
55,2018-06-08,2.1833
56,2018-06-11,2.1749
57,2018-06-12,2.201
58,2018-06-13,2.1717
59,2018-06-14,2.1616
60,2018-06-15,2.123
61,2018-06-19,1.9946
62,2018-06-20,2.0207
63,2018-06-21,1.9801
64,2018-06-22,2.0087
65,2018-06-25,1.9944
66,2018-06-26,2.007
67,2018-06-27,1.9865
68,2018-06-28,1.9676
69,2018-06-29,2.0294
70,2018-06-30,2.0293
71,2018-07-02,1.9936
72,2018-07-03,2.0177
73,2018-07-04,1.9858
74,2018-07-05,1.932
75,2018-07-06,1.9402
76,2018-07-09,1.9848
77,2018-07-10,1.9972
78,2018-07-11,1.9516
79,2018-07-12,2.0091
80,2018-07-13,2.0225
81,2018-07-16,2.0211
82,2018-07-17,2.0181
83,2018-07-18,2.0071
84,2018-07-19,1.988
85,2018-07-20,2.01
86,2018-07-23,2.0256
87,2018-07-24,2.0729
88,2018-07-25,2.0702
89,2018-07-26,2.0567
90,2018-07-27,2.0458
91,2018-07-30,2.0206
92,2018-07-31,2.0176
93,2018-08-01,1.9852
94,2018-08-02,1.9311
95,2018-08-03,1.9095
96,2018-08-06,1.8697
97,2018-08-07,1.9146
98,2018-08-08,1.8853
99,2018-08-09,1.9299
100,2018-08-10,1.941
101,2018-08-13,1.9507
102,2018-08-14,1.9441
103,2018-08-15,1.9001
104,2018-08-16,1.884
105,2018-08-17,1.856
106,2018-08-20,1.8663
107,2018-08-21,1.8867
108,2018-08-22,1.8659
109,2018-08-23,1.8735
110,2018-08-24,1.8678
111,2018-08-27,1.9104
112,2018-08-28,1.9133
113,2018-08-29,1.9003
114,2018-08-30,1.8741
