,endDate,NAV
0,2017-02-27,1.2376
1,2017-02-28,1.24
2,2017-03-01,1.242
3,2017-03-02,1.2342
4,2017-03-03,1.2317
5,2017-03-06,1.2382
6,2017-03-07,1.2409
7,2017-03-08,1.2392
8,2017-03-09,1.2318
9,2017-03-10,1.2322
10,2017-03-13,1.2427
11,2017-03-14,1.2424
12,2017-03-15,1.2449
13,2017-03-16,1.2512
14,2017-03-17,1.2398
15,2017-03-20,1.2411
16,2017-03-21,1.2469
17,2017-03-22,1.2414
18,2017-03-23,1.2457
19,2017-03-24,1.2554
20,2017-03-27,1.2515
21,2017-03-28,1.2488
22,2017-03-29,1.2477
23,2017-03-30,1.2381
24,2017-03-31,1.2451
25,2017-04-05,1.2616
26,2017-04-06,1.2653
27,2017-04-07,1.2667
28,2017-04-10,1.2626
29,2017-04-11,1.2669
30,2017-04-12,1.2642
31,2017-04-13,1.266
32,2017-04-14,1.2565
33,2017-04-17,1.2542
34,2017-04-18,1.2485
35,2017-04-19,1.2427
36,2017-04-20,1.2481
37,2017-04-21,1.2499
38,2017-04-24,1.2403
39,2017-04-25,1.2437
40,2017-04-26,1.2452
41,2017-04-27,1.2457
42,2017-04-28,1.2434
43,2017-05-02,1.2388
44,2017-05-03,1.2342
45,2017-05-04,1.2313
46,2017-05-05,1.2238
47,2017-05-08,1.2156
48,2017-05-09,1.2138
49,2017-05-10,1.2094
50,2017-05-11,1.216
51,2017-05-12,1.2261
52,2017-05-15,1.231
53,2017-05-16,1.2413
54,2017-05-17,1.2357
55,2017-05-18,1.2318
56,2017-05-19,1.2338
57,2017-05-22,1.2363
58,2017-05-23,1.2412
59,2017-05-24,1.2413
60,2017-05-25,1.2629
61,2017-05-26,1.2613
62,2017-05-31,1.2656
63,2017-06-01,1.2674
64,2017-06-02,1.2635
65,2017-06-05,1.2576
66,2017-06-06,1.266
67,2017-06-07,1.2804
68,2017-06-08,1.2899
69,2017-06-09,1.2955
70,2017-06-12,1.2949
71,2017-06-13,1.2981
72,2017-06-14,1.2842
73,2017-06-15,1.2822
74,2017-06-16,1.2802
75,2017-06-19,1.2924
76,2017-06-20,1.2899
77,2017-06-21,1.3044
78,2017-06-22,1.3057
79,2017-06-23,1.317
80,2017-06-26,1.3327
81,2017-06-27,1.335
82,2017-06-28,1.3359
83,2017-06-29,1.3442
84,2017-06-30,1.3438
85,2017-07-03,1.3382
86,2017-07-04,1.3276
87,2017-07-05,1.3428
88,2017-07-06,1.3436
89,2017-07-07,1.3435
90,2017-07-10,1.3436
91,2017-07-11,1.3511
92,2017-07-12,1.3472
93,2017-07-13,1.3581
94,2017-07-14,1.3651
95,2017-07-17,1.3512
96,2017-07-18,1.3528
97,2017-07-19,1.3751
98,2017-07-20,1.3816
99,2017-07-21,1.3752
100,2017-07-24,1.3806
101,2017-07-25,1.3722
102,2017-07-26,1.3673
103,2017-07-27,1.3699
104,2017-07-28,1.3734
105,2017-07-31,1.3791
106,2017-08-01,1.3905
107,2017-08-02,1.3876
108,2017-08-03,1.3761
109,2017-08-04,1.3692
110,2017-08-07,1.3759
111,2017-08-08,1.3781
112,2017-08-09,1.3778
113,2017-08-10,1.3725
114,2017-08-11,1.3486
115,2017-08-14,1.3652
116,2017-08-15,1.3691
117,2017-08-16,1.3676
118,2017-08-17,1.3746
119,2017-08-18,1.3762
120,2017-08-21,1.3819
121,2017-08-22,1.386
122,2017-08-23,1.3873
123,2017-08-24,1.3799
124,2017-08-25,1.4016
125,2017-08-28,1.4181
126,2017-08-29,1.4159
127,2017-08-30,1.4159
128,2017-08-31,1.4116
129,2017-09-01,1.4147
130,2017-09-04,1.4205
131,2017-09-05,1.4245
132,2017-09-06,1.4219
133,2017-09-07,1.415
134,2017-09-08,1.4136
135,2017-09-11,1.4135
136,2017-09-12,1.4178
137,2017-09-13,1.4195
138,2017-09-14,1.4149
139,2017-09-15,1.4154
140,2017-09-18,1.4195
141,2017-09-19,1.4155
142,2017-09-20,1.4193
143,2017-09-21,1.4177
144,2017-09-22,1.4176
145,2017-09-25,1.4105
146,2017-09-26,1.4119
147,2017-09-27,1.4121
148,2017-09-28,1.4126
149,2017-09-29,1.4175
150,2017-10-09,1.4331
151,2017-10-10,1.4359
152,2017-10-11,1.4404
153,2017-10-12,1.4439
154,2017-10-13,1.4469
155,2017-10-16,1.4442
156,2017-10-17,1.444
157,2017-10-18,1.4547
158,2017-10-19,1.4503
159,2017-10-20,1.4489
160,2017-10-23,1.4503
161,2017-10-24,1.4603
162,2017-10-25,1.4666
163,2017-10-26,1.4725
164,2017-10-27,1.4824
165,2017-10-30,1.4779
166,2017-10-31,1.4769
167,2017-11-01,1.4734
168,2017-11-02,1.4735
169,2017-11-03,1.4719
170,2017-11-06,1.4818
171,2017-11-07,1.4936
172,2017-11-08,1.4915
173,2017-11-09,1.5012
174,2017-11-10,1.514
175,2017-11-13,1.5197
176,2017-11-14,1.5097
177,2017-11-15,1.5007
178,2017-11-16,1.5116
179,2017-11-17,1.5172
180,2017-11-20,1.5251
181,2017-11-21,1.551
182,2017-11-22,1.5545
183,2017-11-23,1.5111
184,2017-11-24,1.5116
185,2017-11-27,1.4923
186,2017-11-28,1.4943
187,2017-11-29,1.4938
188,2017-11-30,1.4771
189,2017-12-01,1.4746
190,2017-12-04,1.4817
191,2017-12-05,1.4892
192,2017-12-06,1.4805
193,2017-12-07,1.4649
194,2017-12-08,1.4761
195,2017-12-11,1.4961
196,2017-12-12,1.4775
197,2017-12-13,1.4893
198,2017-12-14,1.481
199,2017-12-15,1.4653
200,2017-12-18,1.4667
201,2017-12-19,1.4842
202,2017-12-20,1.4825
203,2017-12-21,1.4956
204,2017-12-22,1.491
205,2017-12-25,1.4863
206,2017-12-26,1.4906
207,2017-12-27,1.4688
208,2017-12-28,1.4785
209,2017-12-29,1.4828
210,2017-12-31,1.4827
211,2018-01-02,1.5025
212,2018-01-03,1.5109
213,2018-01-04,1.5169
214,2018-01-05,1.5205
215,2018-01-08,1.5279
216,2018-01-09,1.5381
217,2018-01-10,1.5445
218,2018-01-11,1.5438
219,2018-01-12,1.5506
220,2018-01-15,1.5506
221,2018-01-16,1.5622
222,2018-01-17,1.5587
223,2018-01-18,1.5669
224,2018-01-19,1.5718
225,2018-01-22,1.5896
226,2018-01-23,1.6058
227,2018-01-24,1.6084
228,2018-01-25,1.5997
229,2018-01-26,1.6057
230,2018-01-29,1.578
231,2018-01-30,1.562
232,2018-01-31,1.5687
233,2018-02-01,1.5582
234,2018-02-02,1.5671
235,2018-02-05,1.5681
236,2018-02-06,1.5246
237,2018-02-07,1.4904
238,2018-02-08,1.477
239,2018-02-09,1.4169
240,2018-02-12,1.4347
241,2018-02-13,1.4505
242,2018-02-14,1.4614
243,2018-02-22,1.4911
244,2018-02-23,1.4975
245,2018-02-26,1.5142
246,2018-02-27,1.4933
247,2018-02-28,1.4811
248,2018-03-01,1.4899
249,2018-03-02,1.4786
250,2018-03-05,1.4789
251,2018-03-06,1.4959
252,2018-03-07,1.4853
253,2018-03-08,1.4997
254,2018-03-09,1.5107
255,2018-03-12,1.5172
256,2018-03-13,1.5045
257,2018-03-14,1.4982
258,2018-03-15,1.506
259,2018-03-16,1.4922
260,2018-03-19,1.4983
261,2018-03-20,1.4993
262,2018-03-21,1.4933
263,2018-03-22,1.4788
264,2018-03-23,1.4377
265,2018-03-26,1.4293
266,2018-03-27,1.441
267,2018-03-28,1.4164
268,2018-03-29,1.4345
269,2018-03-30,1.4361
270,2018-04-02,1.4319
271,2018-04-03,1.4234
272,2018-04-04,1.4208
273,2018-04-09,1.42
274,2018-04-10,1.4458
275,2018-04-11,1.4499
276,2018-04-12,1.436
277,2018-04-13,1.4264
278,2018-04-16,1.4044
279,2018-04-17,1.3835
280,2018-04-18,1.3896
281,2018-04-19,1.4055
282,2018-04-20,1.3876
283,2018-04-23,1.3894
284,2018-04-24,1.4165
285,2018-04-25,1.4113
286,2018-04-26,1.3856
287,2018-04-27,1.3863
288,2018-05-02,1.3885
289,2018-05-03,1.3988
290,2018-05-04,1.393
291,2018-05-07,1.4137
292,2018-05-08,1.4291
293,2018-05-09,1.4266
294,2018-05-10,1.4341
295,2018-05-11,1.427
296,2018-05-14,1.4396
297,2018-05-15,1.4446
298,2018-05-16,1.4338
299,2018-05-17,1.4238
300,2018-05-18,1.4374
301,2018-05-21,1.4438
302,2018-05-22,1.4388
303,2018-05-23,1.4207
304,2018-05-24,1.4112
305,2018-05-25,1.4082
306,2018-05-28,1.414
307,2018-05-29,1.404
308,2018-05-30,1.3758
309,2018-05-31,1.4036
310,2018-06-01,1.3925
311,2018-06-04,1.4054
312,2018-06-05,1.4192
313,2018-06-06,1.4164
314,2018-06-07,1.4161
315,2018-06-08,1.3984
316,2018-06-11,1.3986
317,2018-06-12,1.4149
318,2018-06-13,1.4017
319,2018-06-14,1.3965
320,2018-06-15,1.3917
321,2018-06-19,1.3452
322,2018-06-20,1.3506
323,2018-06-21,1.3358
324,2018-06-22,1.3422
325,2018-06-25,1.3252
326,2018-06-26,1.3149
327,2018-06-27,1.2896
328,2018-06-28,1.2774
329,2018-06-29,1.3095
330,2018-06-30,1.3095
331,2018-07-02,1.2732
332,2018-07-03,1.2739
333,2018-07-04,1.258
334,2018-07-05,1.2511
335,2018-07-06,1.2597
336,2018-07-09,1.2933
337,2018-07-10,1.2969
338,2018-07-11,1.2758
339,2018-07-12,1.3039
340,2018-07-13,1.3093
341,2018-07-16,1.3033
342,2018-07-17,1.2966
343,2018-07-18,1.2905
344,2018-07-19,1.2895
345,2018-07-20,1.3128
346,2018-07-23,1.3245
347,2018-07-24,1.3445
348,2018-07-25,1.3431
349,2018-07-26,1.3284
350,2018-07-27,1.3235
351,2018-07-30,1.3211
352,2018-07-31,1.3222
353,2018-08-01,1.2973
354,2018-08-02,1.2698
355,2018-08-03,1.25
356,2018-08-06,1.2349
357,2018-08-07,1.2691
358,2018-08-08,1.2501
359,2018-08-09,1.2799
360,2018-08-10,1.2827
361,2018-08-13,1.2773
362,2018-08-14,1.271
363,2018-08-15,1.2423
364,2018-08-16,1.2369
365,2018-08-17,1.2201
366,2018-08-20,1.2335
367,2018-08-21,1.2549
368,2018-08-22,1.2482
369,2018-08-23,1.2532
370,2018-08-24,1.2555
371,2018-08-27,1.2845
372,2018-08-28,1.2823
373,2018-08-29,1.2774
374,2018-08-30,1.2647
375,2018-08-31,1.2588
376,2018-09-03,1.2541
377,2018-09-04,1.2692
378,2018-09-05,1.2456
379,2018-09-06,1.2338
380,2018-09-07,1.239
381,2018-09-10,1.2218
382,2018-09-11,1.2197
383,2018-09-12,1.212
384,2018-09-13,1.2243
385,2018-09-14,1.2263
386,2018-09-17,1.2128
387,2018-09-18,1.236
388,2018-09-19,1.2516
389,2018-09-20,1.2508
390,2018-09-21,1.2869
391,2018-09-25,1.2758
392,2018-09-26,1.2893
393,2018-09-27,1.2844
394,2018-09-28,1.297
395,2018-10-08,1.2437
396,2018-10-09,1.2428
397,2018-10-10,1.2403
398,2018-10-11,1.1838
399,2018-10-12,1.2004
400,2018-10-15,1.1845
401,2018-10-16,1.1754
402,2018-10-17,1.1817
403,2018-10-18,1.1552
404,2018-10-19,1.1876
405,2018-10-22,1.2362
406,2018-10-23,1.205
407,2018-10-24,1.2067
408,2018-10-25,1.2089
409,2018-10-26,1.2015
410,2018-10-29,1.1667
411,2018-10-30,1.1788
412,2018-10-31,1.1947
413,2018-11-01,1.203
414,2018-11-02,1.2438
415,2018-11-05,1.2338
416,2018-11-06,1.2267
417,2018-11-07,1.2193
418,2018-11-08,1.216
419,2018-11-09,1.1997
420,2018-11-12,1.213
421,2018-11-13,1.2246
422,2018-11-14,1.2129
423,2018-11-15,1.2265
424,2018-11-16,1.2321
425,2018-11-19,1.2453
426,2018-11-20,1.2179
427,2018-11-21,1.2209
428,2018-11-22,1.2166
429,2018-11-23,1.1911
430,2018-11-26,1.1902
431,2018-11-27,1.1886
432,2018-11-28,1.2037
433,2018-11-29,1.1888
434,2018-11-30,1.2014
435,2018-12-03,1.233
436,2018-12-04,1.2354
437,2018-12-05,1.2298
438,2018-12-06,1.2045
439,2018-12-07,1.2046
440,2018-12-10,1.1914
